PsIsProcessInAppSilo:: 0x57aab0
IopAllocateIrpPrivate:: 0x561a0
SdbpValidateAndApplyCompatFlags:: 0x54bdd8
FsRtlpOplockBreakByCacheFlags:: 0x53b80
KsepCacheLookup:: 0x48304c
SmHpChunkHeapProtect:: 0xa524
MiZeroSystemPdes:: 0x2d104
NtQueryDriverEntryOrder$filt$0:: 0x753b4c
PiCMOpenDeviceKey:: 0x488ea0
EtwpWriteUserEvent:: 0x4f9e50
CmpInitDelayDerefKCBEngine:: 0x5dc3f4
IopQueryNameInternal$fin$0:: 0x5ef430
PiDqIrpQueryCreate$filt$0:: 0x5ee2bd
SmpDirtyStoreCreate:: 0x440498
PspAllocateRateControl:: 0x44e988
PfSnReferenceProcessTrace:: 0x4c10
FsRtlpOpBatchBreakClosePending$fin$0:: 0x6a7d8e
SepIsSiblingTokenByPointer:: 0x559aa4
PoFxSendSystemLatencyUpdate:: 0x44504
PfSnTraceGetLogEntry:: 0x5368
CcMdlRead:: 0x552f80
AuthzBasepEvaluateExpression:: 0x4d7ec
KiCheckMaxOverQuotaTransition:: 0x105520
IopRetrieveTransactionParameters:: 0x4f2b50
ExRegisterCallback:: 0x113070
CmpInitializeFreezeThaw:: 0x5de1c8
CcZeroDataOnDisk:: 0x302c0
ObReferenceObjectExWithTag:: 0x61880
CmpQueryKeyName$filt$0:: 0x5ef45b
NtProtectVirtualMemory:: 0x5077e0
PopGetIdleTimesCallback:: 0xacc40
KiRemoveSchedulingGroupQueue:: 0x41784
PspReaper:: 0x40b50
CreateSystemRootLink:: 0x84a0f4
KiIpiSendRequest:: 0x74c50
MiObtainMdlCharges:: 0xda928
KiSetupTimeIncrement:: 0x1300b0
AlpcpCleanupProcessViews:: 0x4d0ffc
AlpcpReferenceConnectedPort:: 0x4fecb0
EtwpAddDataSource:: 0x53adec
MiReleaseSystemCacheView:: 0xb6bf0
PoFxCompleteDevicePowerNotRequired:: 0x1171b0
MiScanRelocationPage:: 0x4a6630
AlpcpFlushMessagesPort:: 0x4fcca4
ExpCloudbookHardwareLockedProvider:: 0x5cb2f0
KiWaitSatisfyMutant:: 0xfc908
SepConvertToOwnTokenClaims:: 0x137a24
CmpLockKcbStackTopExclusiveRestShared:: 0x4def70
