MiStoreEvictPageFile:: 0x343378
NtSetSystemInformation$filt$24:: 0x7d6dfa
WbUpdateHeapExecutedCallArgumentList:: 0x6be70c
FsRtlCancellableWaitForMultipleObjects:: 0x60ab00
CmpTryToLockKcbExclusive:: 0x710914
PiDrvDbEnumDriverStoreNodes:: 0x79b25c
PiDqIrpPropertySet$filt$0:: 0x7d9511
MiInitializeSystemVa:: 0xa5ba08
FsRtlpOplockBreakByCacheFlags$fin$0:: 0x3f5fe0
HeadlessTerminalAddResources:: 0x77e4f0
ObpMarkDirectoryTreeTemporary:: 0x5dd968
wcstoxlX:: 0x3bceac
KiRequestSoftwareInterrupt:: 0x2fb968
KiSetTimerEx:: 0x2e8a00
OpenGlobalizationUserSettingsKey:: 0x38eefc
PiDevCfgConfigureSoftwareDevices:: 0x7564e8
ExpFastResourceLegacyConvertExclusiveToShared:: 0x3788f8
SdbpCheckExe:: 0x7bf86c
B_TREE<unsigned long,ST_STORE<SM_TRAITS>::_ST_HASH_ENTRY,4096,NP_CONTEXT,ST_STORE<SM_TRAITS>::ST_HASH_ENTRY_COMPARATOR>::BTreeIteratorFromSearchResult:: 0x25f358
CmpAddToDelayedClose:: 0x6e7fc0
DrvDbSetDriverInfFileMappedProperty:: 0x71e1bc
PopDirectedDripsNotify:: 0x77ce58
PsGetWorkOnBehalfThread:: 0x22f490
PfFileInfoNotify:: 0x294700
SmFirstTimeInit:: 0x251efc
EtwSetInformation:: 0x76e670
IopTestConfiguration:: 0x73eff0
PopFxNotifySxTransitionState:: 0x765ea4
KeInitSystem:: 0xa57cfc
AdtpBuildMessageString:: 0x7a7b54
MiDereferenceSegmentThread:: 0x3a75a0
MiUnmapVad:: 0x5ea950
IopGetSetObjectId:: 0x6d9348
PiDevCfgEnforceDevicePolicy:: 0x75e6c8
IoIsActivityTracingEnabled:: 0x3247a0
MiLoadUserSymbols:: 0x7be46c
ArbInitializeOrderingList:: 0x799a5c
KeGetAffinitizedInterruptsInfo$filt$0:: 0x5286de
PspNotificationPacketCallback:: 0x703ef0
SMKM_STORE<SM_TRAITS>::SmStOutSwapStore:: 0x325854
MiTimeSingleLargePageZero:: 0x3951b0
IopGetFileVolumeNameInformation:: 0x2efd30
_CmSetDeviceMappedPropertyFromDriverKeyRegValue:: 0x72993c
DbgkCreateThread:: 0x65eb64
CmpTraceHiveLoadStart:: 0x6aca70
HalpProcIsSmtDisabled:: 0xa780c0
