??_C@_0CP@NHJMBPCM@?$CFs?3?5Failed?5to?5set?5alpc?5call?5back@FNODOBFM@:: 0xabb80
??_C@_0BP@PHPPKGHL@?9?9?9?9Press?5?$DMEnter?$DO?5for?5more?9?9?9?9?$AA@CIFEBFPJ@:: 0x5192d0
KiAddRange:: 0x2b5ad0
ZwAlertThread:: 0x68b40
CmpIsHiveAlreadyLoaded:: 0x493480
RawReadWriteDeviceControl:: 0x2d6ff0
perftouchbuffer:: 0x538640
CmpDelayFreeRMDpc:: 0x2749e0
XIPlocate_breakin:: 0x21353c
AlpcpLogSendMessage:: 0x400730
IoReleaseRemoveLockEx:: 0x81330
PnpDetermineResourceListSize:: 0x3e13f0
??_C@_0BI@PCAOFACF@?$CIDeviceTextDescription?$CJ?$AA@JKADOLAD@:: 0x4f7e60
PARTITION_SYSTEM_GUID:: 0x1ae3b8
MiGetSystemPteStatistics:: 0x3ec550
PopSwitchForcedShutdownSettingCallback:: 0x173660
??_C@_0EM@KIELOMMK@?$AN?6?$DMPROPERTY?5NAME?$DN?$CCSTOPCODE?$CC?5TYPE@CIFEBFPJ@:: 0x5193a0
NetProvGuid:: 0x1af6b0
FsRtlInitializeMcb:: 0x4c7ce0
AlpcpGetDataFromUserVaSafe:: 0x2c4300
EtwpDeleteRegistrationObject:: 0x326e40
RtlGetCompressionWorkSpaceSize:: 0x2abb50
??_C@_07BJOIOONN@Strings?$AA@PBOPGDP@:: 0x56a170
??_C@_0M@PDMFGPMH@?2SystemRoot?$AA@PBOPGDP@:: 0x56a580
??_C@_1BK@GCJNNPH@?$AAC?$AAM?$AAF?$AAS?$AAt?$AAa?$AAr?$AAt?$AAT?$AAi?$AAm?$AAe?$AA?$AA@NNGAKEGL@:: 0x37a990
MiLargePfnBitMap:: 0x2a73c8
LdrResGetRCConfig:: 0x422640
CcMaxVacbLevelsSeen:: 0x1e8fdc
VfZwQueryInformationToken:: 0x4fe020
ExpCreateOutputARC:: 0x4781d0
PopSetAwayModeStatus:: 0x479100
AlpcpFreeCompletionBuffer:: 0x3ec750
??_C@_15NFGIAIAJ@?$AAv?$AAi?$AA?$AA@:: 0x1b4d40
towlower:: 0xbb370
_snscanf_s:: 0xbc87c
ExpParseEfiPath:: 0x4764b0
MmSpecialPagesInUse:: 0x226a70
RtlGetGroupSecurityDescriptor:: 0x3dc230
??_C@_02FPPOCJNB@?$DN?$DM?$AA@NNGAKEGL@:: 0x373ba0
ULongToPtr:: 0x103b50
StEtaIoComplete:: 0x110490
__imp_ClfsReserveAndAppendLog:: 0x1a6358
FsRtlAllocatePoolWithQuotaTag:: 0x165030
IoAllocateDriverObjectExtension:: 0x17d300
FILE_TYPE_NOTIFICATION_GUID_CRASHDUMP_FILE:: 0x1b3740
ObpAccessProtectCloseBit:: 0x1e5ba8
