IoCancelThreadIo        ntoskrnl.exe+0x78D724
PnpNotifyTargetDeviceChange        ntoskrnl.exe+0x6DC654
DbgUnicodeStringToAnsiString        ntoskrnl.exe+0x20B874
PipApplyFunctionToServiceInstances        ntoskrnl.exe+0x8397C0
SeAccessCheckWithHint        ntoskrnl.exe+0x299F30
FsRtlNotifyFilterChangeDirectoryLite$fin$0        ntoskrnl.exe+0x85F617
PopIdleCancelAoAcDozeS4Timer        ntoskrnl.exe+0x364FC8
KeQuerySchedulingGroupReadyTime        ntoskrnl.exe+0x23C4DC
IoCreateSymbolicLink2        ntoskrnl.exe+0x67C530
KeInitializeSchedulerAssist        ntoskrnl.exe+0xB2DC3C
VrpHandleIoctlCreateNamespaceNode        ntoskrnl.exe+0x65CCF8
HalpAcquireCmosSpinLock        ntoskrnl.exe+0x21F3F0
MiInitializeNewPfns        ntoskrnl.exe+0x3B250C
PoClearPowerRequest        ntoskrnl.exe+0x365620
KdRegisterPowerHandler        ntoskrnl.exe+0x3D72E0
MiScanPagefiles        ntoskrnl.exe+0x26DDD4
_CmGetDeviceMappedProperty        ntoskrnl.exe+0x7B6300
SepCleanupLUIDDeviceMapDirectory        ntoskrnl.exe+0x67DFF0
MiUpdateLastSubsectionSize        ntoskrnl.exe+0x222670
MiUnlockDynamicMemoryExclusive        ntoskrnl.exe+0x274708
PnpDeviceCompletionQueueIsEmpty        ntoskrnl.exe+0x368CB0
PopQueryPowerButtonConfiguration        ntoskrnl.exe+0x3B0238
MmFlushVirtualMemory        ntoskrnl.exe+0x79EB98
RtlpFreeHeapInternal        ntoskrnl.exe+0x22BE04
NtCreateEnclave$filt$0        ntoskrnl.exe+0x9787F9
IoWMIQuerySingleInstance        ntoskrnl.exe+0x7B54F0
IntPartIsInterruptSteerable        ntoskrnl.exe+0x3AA848
MiDeprioritizeVad        ntoskrnl.exe+0x24F1BC
CmSetLazyFlushState        ntoskrnl.exe+0x7E8D3C
ObClearProcessDeviceMap        ntoskrnl.exe+0x67DDF4
CmpKeyEnumStackAdvanceInternal        ntoskrnl.exe+0x654BC8
MiInitializeLargePageColorSizes        ntoskrnl.exe+0x3B26A0
_RegRtlOpenKeyTransacted        ntoskrnl.exe+0x7B0CA0
ExpSetDriverEntry$filt$0        ntoskrnl.exe+0x9FB22A
CmpLoadLayerVersions        ntoskrnl.exe+0x836C10
AlpcpCreateSecurityContext        ntoskrnl.exe+0x72A448
PopDiagTraceFxDevicePowerRequirement        ntoskrnl.exe+0x2BE428
PopAcquireAdaptiveLock        ntoskrnl.exe+0x79D61C
KeInsertQueueEx        ntoskrnl.exe+0x245B24
PopDiagTraceIrpStart        ntoskrnl.exe+0x39F5E8
PopCallPowerSettingCallback        ntoskrnl.exe+0x7A0C3C
LookupSidInTable        ntoskrnl.exe+0x73C168
CmpNotifyChangeKey        ntoskrnl.exe+0x734B00
FsRtlCheckUpperOplock$fin$0        ntoskrnl.exe+0x92C1A6
CcSetAdditionalCacheAttributesEx        ntoskrnl.exe+0x225050
